ms1,b1,e1,id2,ms2,b2,e2,ch_match
166,1335,1652,Shamela0011780,332,1,330,237
166,912,1652,Shamela0011787,300,154,900,334
167,1,1464,Shamela0011780,332,330,1698,975
167,1464,1645,Shamela0011780,333,1,169,130
167,374,671,Shamela0011787,300,1128,1646,105
168,540,1450,MSG20191024,201,852,1505,276
168,220,344,ShamDhahabiyya0056999,257,196,327,94
168,1,1204,Shamela0011780,333,232,1645,858
168,1213,1611,Shamela0011780,334,1,401,285
169,233,567,ShamDhahabiyya0056999,260,240,834,131
169,1,584,Shamela0011780,334,401,1022,426
169,726,1683,Shamela0011780,335,16,1320,624
169,1496,1688,Shamela0023735,2294,955,1148,145
170,1141,1436,ShamDhahabiyya0056999,254,978,1192,159
170,624,798,ShamDhahabiyya0056999,257,552,1000,98
170,641,794,Shamela0009429,1384,1,471,93
170,1,304,Shamela0011780,335,1320,1660,230
170,304,572,Shamela0011780,336,1,296,197
170,619,1347,Shamela0011780,336,847,1606,500
170,629,975,Shamela0011787,295,1039,1399,134
170,9,226,Shamela0011787,305,1125,1437,144
170,669,867,Shamela0023735,1695,723,886,122
171,1,1438,Shamela0011780,337,242,1686,961
171,181,323,Shamela0023735,2066,1239,1386,101
171,833,1080,Shamela0023735,2600,1,150,115
172,1,334,Shamela0011780,338,258,615,135
172,384,1073,Shamela0011780,338,878,1711,491
172,1079,1595,Shamela0011780,339,22,639,357
173,6,775,Shamela0011780,339,818,1668,488
173,1082,1251,Shamela0011780,340,1185,1535,126
174,413,1456,Shamela0011780,341,1,1558,756
175,1,968,Shamela0011780,342,352,1516,708
175,968,1089,Shamela0011780,343,1,138,94
175,1112,1528,Shamela0011780,343,925,1506,229
175,14,606,Shamela0011787,437,879,1570,386
176,105,1569,Shamela0011780,344,1,1523,1121
176,500,708,Shamela0011787,438,22,182,116
177,55,1580,Shamela0011780,345,1,1516,1126
178,1,305,Shamela0009429,1412,1298,1604,203
178,305,722,Shamela0009429,1413,1,362,242
178,1,246,Shamela0011780,349,1332,1614,183
178,246,1580,Shamela0011780,350,12,1501,780
178,1,1460,Shamela0011790,67,79,1195,690
178,1,735,Shamela0023735,2764,763,1539,482
178,742,1580,Shamela0023735,2765,5,764,504
179,252,535,Shamela0009631,437,296,464,106
179,82,1430,Shamela0011780,351,1,1530,937
179,245,619,Shamela0011790,67,1231,1575,239
179,619,1213,Shamela0011790,68,1,543,311
179,1,561,Shamela0023735,2765,764,1351,428
180,12,1382,Shamela0011780,352,54,1575,988
180,5,739,Shamela0011790,68,639,1370,385
180,130,1529,Shamela0023735,2766,39,1137,809
